Tournament,Team,Placement,RLCS Points,Prize Money $,Region
EU Open 1,Karmine Corp,1st,15,15000,EU
EU Open 1,Team Vitality,2nd,10,9000,EU
EU Open 1,100%,3rd-4th,7,6000,EU
EU Open 1,Ninjas in Pyjamas,3rd-4th,7,6000,EU
EU Open 1,Dignitas,5th-6th,5,3600,EU
EU Open 1,Gentle Mates Alpine,5th-6th,5,3600,EU
EU Open 1,RRG,7th-8th,3,2400,EU
EU Open 1,Geekay Esports,7th-8th,3,2400,EU
EU Open 1,Synergy,9th-12th,2,1800,EU
EU Open 1,Save the Game,9th-12th,2,1800,EU
EU Open 1,Ascend,9th-12th,2,1800,EU
EU Open 1,CALIENTE,9th-12th,2,1800,EU
EU Open 1,NOVO Esports,13th-16th,1,1350,EU
EU Open 1,Redemption,13th-16th,1,1350,EU
EU Open 1,Startpoint,13th-16th,1,1350,EU
EU Open 1,Seleção,13th-16th,1,1350,EU
EU Open 2,Karmine Corp,1st,15,15000,EU
EU Open 2,Dignitas,2nd,10,9000,EU
EU Open 2,Ninjas in Pyjamas,3rd-4th,7,6000,EU
EU Open 2,Team Vitality,3rd-4th,7,6000,EU
EU Open 2,100%,5th-6th,5,3600,EU
EU Open 2,Startpoint,5th-6th,5,3600,EU
EU Open 2,Geekay Esports,7th-8th,3,2400,EU
EU Open 2,Ascend,7th-8th,3,2400,EU
EU Open 2,CALIENTE,9th-12th,2,1800,EU
EU Open 2,JJROX,9th-12th,2,1800,EU
EU Open 2,Gentle Mates Alpine,9th-12th,2,1800,EU
EU Open 2,Save the Game,9th-12th,2,1800,EU
EU Open 2,F4WD,13th-16th,1,1350,EU
EU Open 2,NOMSTER,13th-16th,1,1350,EU
EU Open 2,Redemption,13th-16th,1,1350,EU
EU Open 2,RRG,13th-16th,1,1350,EU
EU Open 3,Geekay Esports,1st,15,15000,EU
EU Open 3,Karmine Corp,2nd,10,9000,EU
EU Open 3,Dignitas,3rd-4th,7,6000,EU
EU Open 3,Team Vitality,3rd-4th,7,6000,EU
EU Open 3,Redemption,5th-6th,5,3600,EU
EU Open 3,Ninjas in Pyjamas,5th-6th,5,3600,EU
EU Open 3,100%,7th-8th,3,2400,EU
EU Open 3,Startpoint,7th-8th,3,2400,EU
EU Open 3,JJROX,9th-12th,2,1800,EU
EU Open 3,CALIENTE,9th-12th,2,1800,EU
EU Open 3,Ascend,9th-12th,2,1800,EU
EU Open 3,Synergy,9th-12th,2,1800,EU
EU Open 3,F4WD,13th-16th,1,1350,EU
EU Open 3,RRG,13th-16th,1,1350,EU
EU Open 3,Sick!,13th-16th,1,1350,EU
EU Open 3,Gentle Mates Alpine,13th-16th,1,1350,EU
Birmingham Major,Karmine Corp,1st,30,102000,EU
Birmingham Major,The Ultimates,2nd,20,51000,NA
Birmingham Major,FURIA,3rd-4th,14,36000,SAM
Birmingham Major,NRG,3rd-4th,14,36000,NA
Birmingham Major,Team Vitality,5th-6th,10,22500,EU
Birmingham Major,Team Falcons,5th-6th,10,22500,MENA
Birmingham Major,Twisted Minds,7th-8th,6,15000,MENA
Birmingham Major,Geekay Esports,7th-8th,6,15000,MENA
Birmingham Major,Dignitas,9th-11th,5,9000,EU
Birmingham Major,Gen.G Mobil1 Racing,9th-11th,5,9000,NA
Birmingham Major,Luminosity Gaming,9th-11th,5,9000,NA
Birmingham Major,Wildcard,12th-14th,4,6000,OCE
Birmingham Major,Complexity Gaming,12th-14th,4,6000,NA
Birmingham Major,Team Secret,12th-14th,4,6000,SAM
Birmingham Major,Helfie Chiefs,15th-16th,3,3000,APAC
Birmingham Major,FUT Esports,15th-16th,3,3000,EU
